,1000m,250m,100m,50m
1.0,1.33088294,2.20203542,4.153743060000001,8.740603120000003
1.1513953993264474,1.3439264200000003,2.2214095799999996,4.112996300000001,9.944169319999991
1.3257113655901092,1.3636690999999999,2.19264018,4.0920794,11.65801222
1.5264179671752334,1.33196338,2.22423178,4.12027066,13.2919491
1.7575106248547918,1.3317831999999998,2.21587538,4.31301876,15.456769880000001
2.023589647725157,1.2859858199999998,2.21957666,4.97920556,17.5218752
2.329951810515372,1.3043480600000001,2.22710784,5.705168500000002,13.195204719999992
2.6826957952797255,1.2970069399999997,2.2033763399999997,6.5638971999999995,23.177713500000003
3.088843596477481,1.3202624200000002,2.2226975600000003,7.640349460000001,16.78994126
3.5564803062231287,1.3256055200000003,2.1532466400000003,8.63298196,18.532066280000002
4.094915062380426,1.32236288,2.24783038,9.832826699999998,20.75472000000001
4.714866363457394,1.2997815199999998,2.49048626,11.21484018,23.418228399999997
5.428675439323859,1.3307372,2.9030584800000008,12.90051896,26.497116819999995
6.250551925273973,1.3010447399999996,3.2902867999999996,14.701335239999997,30.08676362000001
7.196856730011519,1.3295871600000002,3.7045093799999997,17.010607659999998,34.16888718
8.286427728546844,1.2955298800000001,4.2581474,11.620914419999997,39.19854163999999
9.54095476349994,1.3013333799999998,4.95446622,13.183880139999996,44.352938259999995
10.985411419875584,1.29776754,5.47379404,15.433425160000002,50.787442340000005
12.648552168552959,1.33525552,6.458845219999999,17.442990299999998,57.73030670000001
14.563484775012437,1.3358642800000002,7.018872499999999,19.789612360000007,65.41002489999998
16.768329368110084,1.3254825399999999,8.00547402,22.602834820000005,74.87806026000001
19.306977288832496,1.4940862400000001,8.232578199999999,25.983363920000006,85.63901836
22.229964825261945,1.7440564000000003,9.499143100000001,29.778493379999997,97.41890354000002
25.59547922699536,1.97060098,7.947742599999998,34.13418730000001,108.73978189999998
29.4705170255181,2.28334134,11.109563259999998,38.59612564,127.25536657999999
33.93221771895328,2.5677945,10.319012999999998,44.53803317999999,137.46387204
39.06939937054617,3.01694306,11.77908506,50.75247636,165.3271167
44.98432668969446,3.3215807400000004,13.455265180000001,58.64099652,161.48340546000003
51.7947467923121,3.78208616,15.578733320000001,66.00407523999999,211.9338162
59.63623316594643,4.042125740000001,17.7034009,76.21618242000001,191.94496343999995
68.66488450043002,4.66230416,20.21758908,87.22108949999999,270.43939404
79.06043210907697,4.35011728,23.339608519999995,100.36308788000001,232.28718063999995
91.02981779915217,4.82302838,26.602720079999994,114.12910276,336.88215205999995
104.81131341546853,5.27426056,30.245572519999996,132.89567848000002,288.21647872000005
120.67926406393289,7.015114339999999,34.66523338,149.52253036,415.7444963600001
138.94954943731375,6.680545959999999,39.35864198,168.4626755,375.50687628000003
159.98587196060572,8.216595960000001,45.094970260000004,196.49233955999998,509.65761821999996
184.20699693267164,8.754034540000001,51.949707860000004,200.17938551999995,486.9554060200001
212.09508879201903,10.550462280000001,59.97476802,257.7321915,646.00410444
244.205309454865,11.6172596,68.11210127999999,233.42721634,618.91031332
281.1768697974231,13.879684980000002,77.58328556,328.2167971,794.20092
323.74575428176433,15.644628,91.45162272000002,274.06798094,802.3512925000001
372.7593720314938,17.995847500000004,102.87312368,413.56038282,1013.7959638600001
429.1934260128778,19.916037799999998,118.82595454000003,333.78867276,1051.6392742
494.1713361323833,23.47138206,134.19713424000003,507.05249354,1287.8107886
568.9866029018293,26.64591094,156.27974306,425.15425988000004,1402.7368166800002
655.1285568595509,30.73140344,178.02337464,625.5748625599999,2225.11686628
754.3120063354615,34.55126846,195.87272558,560.67732108,2456.9617326199996
868.511373751352,40.752136660000005,228.87395894000002,773.01640446,3034.99407842
1000.0,46.3366769,230.74370524,850.6956564400001,3415.3465166999995
