,10000m,250m,100m,50m,25m
73.25965428,50.58098728,86.67962614,223.8585192,640.4019851,1270.115329
80.42765483,54.70455126,93.84520604,247.1324291,662.7318538,1324.193281
88.29699955,59.72727618,104.1255381,272.950049,746.6368537,2475.893202
96.93631061,65.207039,111.5239035,300.4566129,848.0447558,1748.485594
106.4209244,70.80104306,123.2316233,320.7527284,816.6728208,1761.042258
116.8335485,77.29289806,134.1114494,354.9114862,953.2662234,1887.370922
128.2649831,84.00018308,148.984979,395.9138092,1111.390509,3009.768083
140.8149122,91.53745296,161.7263828,435.2222882,1085.173941,2364.967768
154.5927736,100.862108,178.0163845,463.9447386,1007.863838,2474.229556
169.718713,110.0629608,194.9339006,519.1020641,1401.579096,2672.291196
186.3246312,119.3936388,215.6806406,570.9410631,1525.943851,3994.759404
204.555335,130.774318,228.9887904,638.0669244,1323.59434,3265.879233
224.5697996,143.7556163,253.6249695,672.1734772,1252.494889,3493.171682
246.5425547,155.5581728,276.5427576,744.6420731,2044.642928,3723.233503
270.665207,172.1045304,306.8694513,829.085989,1861.204895,5278.364576
297.1481105,187.8371993,326.0269023,888.9421194,1639.945925,4699.851533
326.222201,205.446012,360.5552762,960.9144987,1678.554157,4947.752694
358.14101,224.4104664,395.6407097,1070.964639,2851.026662,5367.460941
393.1828756,245.2868835,433.2812845,1146.817665,2320.812868,7174.707836
431.6533693,267.9861407,458.5754564,1059.959944,2171.0026,6535.222048
473.887961,291.669142,509.7896429,1337.269879,2284.087953,6909.234347
520.2549442,317.634322,550.5727057,1480.40383,3678.826069,8113.532115
571.1586478,343.2245321,599.8150499,1399.653374,2882.176832,11087.64616
627.0429615,372.006604,632.7092659,1280.152187,2936.489242,13999.98216
688.395207,405.7831966,702.1068383,1850.360796,3124.547814,15099.47011
755.7503872,436.610101,765.2394653,1947.150236,4901.533077,16275.43521
829.6958521,472.9735276,837.8271523,1657.275786,3846.87762,18926.482
910.8764198,522.4609461,880.970701,1625.166367,4012.36657,12274.39286
1000,558.5740736,983.2193485,2677.05196,4259.280415,14557.86308
1128.837892,859.994764,1037.026973,2505.248462,,
1274.274986,962.258182,1190.595333,2869.467136,,
1438.449888,1024.285798,1333.276543,3151.765737,,
1623.776739,1217.209064,1489.31267,3608.759268,,
1832.980711,1336.57138,1688.858161,4183.187782,,
2069.138081,1471.147392,2761.780667,4858.264192,,
2335.721469,1599.803532,3301.106911,7928.854907,,
2636.650899,1772.88749,3824.265272,9083.702293,,
2976.351442,2021.616197,4295.766267,10062.20098,,
3359.818286,2311.102363,4833.220616,11515.22439,,
3792.690191,2550.384517,5406.774052,13108.61581,,
4281.332399,2811.970942,5993.519167,15435.37679,,
4832.930239,3135.540529,6686.778856,16855.19871,,
5455.594781,3404.393537,7325.981357,18263.78642,,
6158.482111,3814.753604,7874.143916,19534.9842,,
6951.927962,4333.785514,9309.716797,21108.63968,,
7847.599704,5079.045382,10392.87766,22521.04183,,
8858.667904,5140.963683,10809.74014,24935.94713,,
10000,5960.96939,11992.62867,27340.14162,,
