,Delta x,Continuity Error,Execution Time
0,1000m,0.04380417242646217,104.58063791999999
1,250m,0.004398980177938938,121.18321718000001
2,100m,-0.012349369935691357,166.68504224000003
3,50m,-0.00964128877967596,238.80171057999996
4,25m,-0.02004384621977806,384.8292659399999
