,1000m,250m,100m,50m
1.0,-31961.681640625,-48039.796875,-117894.140625,-301917.5625
1.1513953993264474,-31961.681640625,-48039.796875,-117894.140625,-270160.625
1.3257113655901092,-31961.681640625,-48039.796875,-117894.140625,-244394.59375
1.5264179671752334,-31961.681640625,-48039.796875,-117894.140625,-219092.546875
1.7575106248547918,-31961.681640625,-48039.796875,-110559.09375,-190771.015625
2.023589647725157,-31961.681640625,-48039.796875,-100521.921875,-166612.671875
2.329951810515372,-31961.681640625,-48039.796875,-90170.765625,-143449.125
2.6826957952797255,-31961.681640625,-48039.796875,-80887.140625,-122586.28125
3.088843596477481,-31961.681640625,-48039.796875,-67805.3828125,-0.9895877838134766
3.5564803062231287,-31961.681640625,-48039.796875,-59544.4609375,-85672.953125
4.094915062380426,-31961.681640625,-48039.796875,-50242.28125,-9.002691268920898
4.714866363457394,-31961.681640625,-40159.3515625,-42197.9140625,-9.146881103515625
5.428675439323859,-31961.681640625,-35302.05859375,-36001.79296875,-7.072613716125488
6.250551925273973,-31961.681640625,-32673.375,-8.846192359924316,-5.2418670654296875
7.196856730011519,-31961.681640625,-29736.927734375,-19.496299743652344,-4.097620964050293
8.286427728546844,-31961.681640625,-25905.71484375,-21.895282745361328,-3.265716552734375
9.54095476349994,-31961.681640625,-20597.888671875,-4.42515754699707,-2.595482587814331
10.985411419875584,-31961.681640625,-22.96689224243164,-3.067121982574463,-2.0098276138305664
12.648552168552959,-31961.681640625,-6.851362705230713,-2.4825823307037354,-1.4577853679656982
14.563484775012437,-31961.681640625,-40.76456069946289,-2.0004022121429443,-0.9642598628997803
16.768329368110084,-32713.759765625,-9.44117546081543,-1.3802961111068726,-0.8502945899963379
19.306977288832496,-31638.177734375,-1.4103665351867676,-1.1739592552185059,-0.6640209555625916
22.229964825261945,-28412.41015625,-4.2275567054748535,-0.9196727871894836,-0.43546226620674133
25.59547922699536,-26197.216796875,-2.0411832332611084,-0.809863269329071,-0.32561632990837097
29.4705170255181,-26526.5859375,-1.5003246068954468,-0.44833123683929443,-0.17521515488624573
33.93221771895328,-24136.126953125,-1.2665119171142578,-0.20418667793273926,-0.21186551451683044
39.06939937054617,-20561.767578125,-1.0820772647857666,-0.14818298816680908,-0.08696788549423218
44.98432668969446,-467.07977294921875,-0.9592510461807251,-0.19527770578861237,-0.1175529733300209
51.7947467923121,-5.0640058517456055,-0.7054110169410706,-0.0006744597340002656,-0.03842587769031525
59.63623316594643,-19.532865524291992,-0.6766249537467957,-0.09498713165521622,-0.02283903770148754
68.66488450043002,-11.129627227783203,-0.6586347818374634,0.040951985865831375,-0.02751506119966507
79.06043210907697,-0.839734673500061,0.04520288482308388,-0.023387817665934563,-0.00971023179590702
91.02981779915217,-2.8667802810668945,-0.012837568297982216,0.026999957859516144,0.0048973714001476765
104.81131341546853,-1.8608344793319702,0.1476932317018509,0.036302171647548676,-0.005381351336836815
120.67926406393289,-1.3649778366088867,0.05727384239435196,0.07267826795578003,0.024134881794452667
138.94954943731375,-1.2470263242721558,0.13476674258708954,0.01622854545712471,0.01729593798518181
159.98587196060572,-1.0093722343444824,0.16738834977149963,0.020878350362181664,0.1673545092344284
184.20699693267164,-0.9368451833724976,0.04873545840382576,0.0737321600317955,0.20738843083381653
212.09508879201903,-0.8800948262214661,0.19572925567626953,0.06950008124113083,0.27078279852867126
244.205309454865,-0.8368213772773743,0.12851344048976898,0.07441609352827072,0.4278971254825592
281.1768697974231,-0.8083682060241699,0.11123363673686981,0.34925615787506104,0.4381811320781708
323.74575428176433,0.397197961807251,0.1440594643354416,0.6264865398406982,0.5718730688095093
372.7593720314938,0.503550112247467,0.23791718482971191,0.5267176032066345,0.8900529742240906
429.1934260128778,0.3448774814605713,0.3933335542678833,1.142379879951477,1.1868646144866943
494.1713361323833,0.38236820697784424,0.6852719783782959,1.2644363641738892,1.8044241666793823
568.9866029018293,0.35222503542900085,0.9201516509056091,1.4798732995986938,2.1557066440582275
655.1285568595509,0.4689292907714844,1.0851565599441528,2.294283628463745,1.8923275470733643
754.3120063354615,0.358571320772171,1.826532244682312,2.303734302520752,2.663421869277954
868.511373751352,0.4283359944820404,1.8898656368255615,2.444469928741455,2.743109703063965
1000.0,0.45024463534355164,2.1870243549346924,2.566044807434082,2.8163833618164062
