,1000m,250m,100m,50m
1.5,9.509940079999998,25.791800260000002,51.37734394000002,73.38809904000004
1.75,11.04424826,21.82357968,39.38886644000004,92.74618738
2.0,6.7765987800000005,19.890451739999992,30.37092902000004,70.53272214000003
2.25,7.20591076,17.275009280000006,40.314266419999996,51.61890010000002
2.5,6.852661620000001,16.025388880000015,34.74668206,45.20865828000001
2.75,5.719916620000004,14.896235859999999,31.67116415999999,39.21981403999994
3.0,5.803391680000004,14.025868760000003,28.538170779999994,55.20178759999999
3.25,5.58382764,12.572925679999997,26.303226699999982,49.31947131999998
3.5,4.86916796,12.199679999999995,25.178975279999996,42.277230539999984
3.75,4.44196842,10.910192700000005,23.69464032000001,33.53707985999999
4.0,4.610580200000001,10.67054148,23.865649999999995,30.664676340000007
4.25,4.271018419999999,9.68767262,21.529528219999996,41.96602559999999
4.5,3.9953912599999994,9.757975620000002,20.833658620000005,38.7262565
4.75,4.1306655,9.664326019999999,20.67313488,35.35143803999999
5.0,4.130500300000001,9.611827220000004,20.44672498,34.170948980000006
5.25,3.9944361200000005,9.578622720000002,19.734970440000005,27.65659631999997
5.5,3.4757250400000004,8.93988352,18.705600440000012,36.25034916
5.75,3.6202097,8.870570679999997,18.07914658000002,34.049584120000006
6.0,3.8235591000000007,8.218902259999998,17.38260514,30.59722544000001
6.25,3.1969679400000004,7.946428639999999,16.705085759999996,28.947285639999972
6.5,3.35362868,7.8908594800000005,16.027780440000004,25.549089080000023
6.75,3.40666756,7.513725239999997,15.798886880000008,31.7193931
7.0,3.2270622,7.419236119999999,14.901768779999998,29.55893016
7.25,2.88778656,6.875024519999999,14.949588760000001,28.40220777999998
7.5,2.8110246400000007,6.843621999999999,14.481273580000003,25.377866319999974
7.75,2.7615142199999996,6.307836500000002,13.718983960000003,23.532688940000025
8.0,2.9306634000000003,6.498448100000002,13.427426320000006,27.547749820000014
8.25,2.86492498,6.144462239999996,13.324701099999993,26.162500879999993
8.5,2.6533451599999998,5.892087299999997,12.975196299999999,24.71342003999998
8.75,2.588537240000001,6.023545780000001,12.453901159999997,23.15667324000001
9.0,2.5869437399999997,5.608285839999999,12.169362080000008,21.725467939999998
9.25,2.25471402,5.530665740000001,12.026632000000006,24.52599620000001
9.5,2.5220069,5.480797280000002,11.748208599999998,23.015487959999994
9.75,2.36477044,5.249741540000002,11.297120199999995,22.01027928000001
10.0,2.3177019000000008,5.189575359999997,11.13651724,20.610432420000006
0.1,143.99165202,276.48956816,471.36330656,839.6881853800002
0.15000000000000002,91.36310825999999,139.01901616000004,287.69008916,705.3995057
0.20000000000000004,77.56128214,105.56688476000008,228.37532162000008,519.2135619200001
0.25000000000000006,64.87769532,86.40236628000002,272.50784782,424.14273657999985
0.30000000000000004,53.894697459999996,76.31666417999995,181.25255038,310.96544089999986
0.3500000000000001,44.3494798,103.76647409999998,157.63040031999998,305.04302796000013
0.40000000000000013,35.243674600000034,87.84081328000002,133.69848014,310.28613652
0.45000000000000007,41.96649198,69.74245900000001,125.12606892000012,235.92160187999997
0.5000000000000001,33.748212439999996,49.732059100000015,164.78348322,209.44301160000003
0.5500000000000002,28.208260040000006,44.380518540000004,111.77348219999999,187.69842153999997
0.6000000000000002,23.821142959999996,65.83641834,97.98167138000004,177.31246714000008
0.6500000000000001,22.195796100000006,60.12865984,86.00364452000004,206.99131554000004
0.7000000000000002,20.388872499999998,51.527719439999984,78.04259348000005,156.27005020000001
0.7500000000000002,19.315023000000004,41.60987589999998,115.82300702,143.03672809999998
0.8000000000000002,12.365388879999994,36.314122140000016,99.08590047999999,131.8738733
0.8500000000000002,12.341212339999993,42.13589144,67.89443549999996,124.7822129000001
0.9000000000000002,10.973343420000003,39.273962940000004,63.93448602000003,160.17503477999998
0.9500000000000003,12.01461136,38.03122478,61.84385242000003,119.81628078000003
1.0000000000000004,15.5821361,35.99091255999999,89.80640898,111.01908094000001
