,1000m,250m,100m,50m
8.5,-1.457172155380249,-1.485482096672058,-2.5898280143737793,-6.06320333480835
8.75,-1.5417304039001465,-1.6592609882354736,-2.887125015258789,-6.468443393707275
9.0,-1.6539511680603027,-1.7080128192901611,-2.9794461727142334,-6.839351654052734
9.25,-1.711806058883667,-1.8035228252410889,-3.0655224323272705,-7.15305233001709
9.5,-1.7315367460250854,-1.9651676416397095,-3.212531089782715,-7.450223445892334
9.75,-1.8242734670639038,-2.001322031021118,-3.487713098526001,-7.739195823669434
10.0,-1.8889662027359009,-2.1059136390686035,-3.637826681137085,-8.090221405029297
0.1,3.3380634784698486,2.9574458599090576,2.566044807434082,1.6315511465072632
0.15000000000000002,3.2161295413970947,2.7152743339538574,1.7620166540145874,0.5329241752624512
0.20000000000000004,2.5354206562042236,2.5084593296051025,1.3624824285507202,0.36084693670272827
0.25000000000000006,2.783646821975708,2.3009634017944336,0.9694972038269043,0.2436077743768692
0.30000000000000004,2.5592024326324463,1.73957359790802,0.7427194714546204,0.023456821218132973
0.3500000000000001,2.585103988647461,1.4222373962402344,0.3760136365890503,0.021710706874728203
0.40000000000000013,2.5240678787231445,1.0627937316894531,0.14238640666007996,0.0012286255368962884
0.45000000000000007,2.1033616065979004,0.898863673210144,0.16309459507465363,0.004825837444514036
0.5000000000000001,1.877987027168274,0.7089949250221252,0.11985954642295837,0.00318034365773201
0.5500000000000002,1.7535978555679321,0.4080828130245209,0.06518249958753586,0.001940784975886345
0.6000000000000002,1.4653029441833496,0.3482920527458191,0.06162238121032715,0.014930561184883118
0.6500000000000001,1.073707938194275,0.283599853515625,0.027135543525218964,0.00629127211868763
0.7000000000000002,1.3400094509124756,0.20035970211029053,0.014248150400817394,-0.06905786693096161
0.7500000000000002,1.2564913034439087,0.12491828203201294,0.06567258387804031,-0.028205184265971184
0.8000000000000002,0.3922451436519623,0.10209698230028152,0.05970175191760063,0.012663249857723713
0.8500000000000002,0.39159896969795227,0.16086241602897644,0.045672498643398285,-0.06806175410747528
0.9000000000000002,0.37610337138175964,0.1286865919828415,0.022165678441524506,-0.05142417550086975
0.9500000000000003,0.46113625168800354,0.17526774108409882,0.04569661244750023,-0.05529307201504707
1.0000000000000004,0.6866830587387085,0.11233582347631454,0.09022089093923569,-0.018630152568221092
